respondent_id,nps,price_sensitivity_low,price_sensitivity_high
1,8,17.621053745441174,23.511084499306467
2,8,15.803955263606996,19.874722349222687
3,9,17.112301834693668,23.888772980661393
4,5,15.758145499204064,22.125657332951405
5,5,16.15733683971033,24.17614604690948
6,10,16.477572943498767,22.309293327716038
7,5,17.24171256703285,24.90600990707283
8,7,16.76214991686151,19.819759524814685
9,3,17.581310141510258,19.860766890439095
10,9,15.663129785882763,23.82516954796003
11,7,16.7344321060388,22.88915648563695
12,7,15.708358845389029,23.62421697616178
13,8,17.616227993188318,22.631200957761585
14,9,17.288684051956718,22.98123416710998
15,10,16.463423658403418,19.973501420223858
16,5,16.979199377123436,21.107652629528307
17,3,16.377761046421533,24.978050362250684
18,8,15.214093244389051,21.220244580847545
19,10,15.745880671068228,20.273613860441642
20,9,15.748608766741384,20.414750710990372
21,3,16.863044441554145,21.716071529960672
22,7,15.481905355141766,22.12653850183606
23,10,16.195970426716652,22.156513332947025
24,7,15.472171865944283,22.331108310185172
25,3,17.112666459422357,20.603441639576257
26,10,16.111646927761782,22.931872972674007
27,9,16.607417296259886,19.674069266363652
28,7,15.595650568799913,20.540498963184337
29,8,17.349208404198837,23.870146664871566
30,9,17.485598362523216,22.135460992876563
31,9,15.452562818876954,19.867842589021915
32,10,15.968153495070295,22.275225810986484
33,5,17.748226611470706,22.148338136744826
34,10,16.411477531405325,22.96239285292435
35,8,17.77587157756225,21.335558974288908
36,3,16.79472807837742,20.05594248503411
37,3,16.093611136696985,19.124078785638737
38,3,17.526656551154385,21.30489367345129
39,3,16.895599668440607,24.352258688923417
40,7,16.093213449578204,21.45830735282715
41,10,16.189202738151273,20.490814915870423
42,5,15.32334873548869,22.85566603950073
43,3,16.835942530169085,22.273300112412084
44,5,15.056572087181264,23.47641424421607
45,5,17.328698721514755,22.108939508632336
46,7,16.012910294861584,22.33305167434348
47,3,16.470267530650137,23.93293549408032
48,10,16.749212454583382,23.568071903340524
49,7,15.091778074383212,23.744882844445964
50,9,16.03584546908157,22.1096549280394
51,9,15.324538354106084,22.650431523635312
52,8,16.528588106789275,22.126183795265604
53,9,15.253769721076802,19.540368522898785
54,9,15.919167638239399,22.331393081763082
55,9,15.217954690948117,24.625127181345185
56,10,16.495013895775614,22.434377242991527
57,5,16.457567478760712,24.726708601167182
58,5,16.701207273974287,22.049250831742178
59,8,15.000872620749305,24.629501744011094
60,7,15.205463954609575,21.6845929400413
61,5,16.193418345808965,19.14501646552185
62,10,17.04285439861056,23.077063340084994
63,5,17.37452543165952,24.080372631618516
64,5,17.01181819225255,20.389441896982813
65,7,16.99942780537824,21.765746503427575
66,3,15.184530773305797,22.11754856637523
67,3,15.039026215250736,22.340668422842537
68,8,15.780416304056516,21.672655416730876
69,8,16.7516528430395,20.02092491335768
70,3,17.199082580112815,19.50312018294807
71,9,17.39521683148108,23.12121424975539
72,5,16.09259007294449,19.03865021952553
73,5,16.707290137021456,20.33231779129863
74,5,15.191389395198868,21.72301997146893
75,5,17.835888189518847,19.190460985765867
76,7,16.072386000134955,19.248275928423887
77,8,15.712568557135043,19.618831539804795
78,10,17.74963948754644,19.218996539092977
79,3,16.478899662349008,20.809390865079493
80,3,16.5921675846916,19.077910013504024
81,3,16.2942700480206,24.400619474597192
82,9,17.172863734240835,22.505441374720455
83,7,15.542409614045722,23.74984784590893
84,7,16.53933371690894,21.22041152394732
85,5,16.024577920857308,21.808366698017355
86,7,17.053684464922274,24.915933208830403
87,9,16.38356051541988,24.031846763187453
88,10,15.624560970904145,21.76618676898659
89,9,15.48050625323017,24.502750363878555
90,3,15.688267046035623,19.02089781160712
91,10,17.028371202169563,19.85654965226861
92,8,17.408727857830087,24.539367416944675
93,9,17.507053559933844,20.037893086721297
94,3,15.359478067959728,23.03988150288953
95,8,16.124547802196325,20.14472821695018
96,9,16.964995721035795,20.968029797967546
97,7,17.252318882466728,23.13470546375958
98,8,15.770655863316264,19.79293950357102
99,10,15.694625154530813,21.375377633034137
100,8,16.354750246724432,19.636359606906094
